,review
1754,There are many corridors.The shuttle is always a good time. 
1755,"4 If you take a train on the platform, go to the end of the train./ Most beautiful stations.Where do they get all of this money?It's definitely a bit unrealistic compared to other broadcasters.It will be achieved when you receive it.The big station is clean and at least I saw the police, but the other station is not lucky .../Well, the Grand Central area still looks the same and New Yorkers go back to the past.(I don't recognize the surrounding environment. A woman passed through me as if I didn't exist. And I looked at me as I did wrong. I questioned her behavior and lack of sympathy.)... Practice social distance and most of all, be kind and common sense/humility./ fantastic.How many energy is in this place, and the scenery is incredibly great.People who want to see and enjoy and enjoy everything.??East in front of Tudor City ?????…/Magnificent station!Full of shops and restaurants.You need to know where to take the subway.The ceiling with constellations is beautiful. "
1756,"metro-north ????& ??In addition to the train, it starts here and ends.It can be seen that it was made from the top to the bottom.The bathroom is free and as safe and open as the airport.This defines Old New York City…Details/Good Train Station.Can you clean the food court?/The train is often operated and the station is well managed.4, 5, 6, 7, 42nd Street shuttle stop is here.The 7 train platform is under the express/region 4/5/6 platform at one large level.The shuttle is connected to its own platform through the passage.If you go out via a specific outlet, you can arrive at the Grand Central Terminal, where you can ride Metro North./ New York's most beautiful terminal in New York !!Well, everything is there.Similar to Penn Station, I personally think this station is very beautiful.Except that we meet very beautiful characters in Halloween !!Share photos :)/Old and beautiful train stations/Regardless of whether you are other residents or local residents, this subway station is always an important factor in urban transportation systems.That's right.The most complaints are usually about the breathtaking heat in the station!Remember, the generator of the Grand Central is under the station.This causes excessive amount of heat and goes up to the top!In summer, air conditioners in the station will help to lower the platform temperature.This station is the important part of the bigger picture that becomes the most important traffic hub in New York City where Grand Central can access the public./Beautiful architecture :) The whole station is very clean and well managedIt was a beautiful station that fits the name. "
1757, The architecture is really amazing. 
1758," is very suitable for almost all requirements from food to traffic./ Cool place!It's very crowded but great!I like to arrive at this position and start.There is.Now/elegant building.I don't know if Grand Central can see this empty.When I know how many people travel to Grand Central every day, it was an unforgettable experience.My first job in Park Ave had to spend five days a week.In Jackson Heigth of #7.Thousands of people from all over the world, including London, Paris, Tokyo and Mexico City, are coming and going.You can't travel without seeing New York City.Park Avenue and 42th Avenue.??????…/Amazing place.You can go to the court almost everywhere and take a nice picture.Location of many movies and cartoons/I like connector stations.If you take a shuttle in Grand Central, you can literally miss the train by one or two minutes, so plan a 20 -minute free time depending on the departure.There are many complex underground lines for it.Find the signs from the stomach (near the ceiling).The subway driver usually guides the subway connection that is possible when the subway arrives at the station.It's crowded. "
1759," Like almost all NYC subway stations, there is no bathroom. "
1760,"nyc MTA has time to find out the upgrade!/I always like to pass the Grand Central, and the subway is quite huge for walking.It may be a bit confusing, but you can find a train without much effort by following the sign.It is one of the places to visit. "
1761," The best known part of this unique building is the Great Hall of 1,100m2.And a brick safe located in Oyster bar, the work of Rafael Guastavino, a ""New York Architect"".Two separate train hubs. "
1762, Grand Central Station Hub is a New York City MTA (MTA) subway system with two main routes.East Side Lexington Avenue Line and West Side Broadway Line. 
1763," This two railway routes are connected from the Grand Central Terminal at 125th Street..Otherwise, commuting or simply traveling to the city is completely safe.I still need to see if I still have it.I will tell you my address and call it soon.I want to know if you still have it.There are still documents, ID cards, and the new address ((2017)) 505 s 2nd Ave 9A Mount Vernon New York 10550/Always beautiful !!I never know what new store or what type of person will see.NY is the best.This landmark is one of the reasons./When I have to stop here, I like it.It is a symbolic place and beautiful.There is a train service to various regions and is located in the center./This is one of the best stations in New York, you don't have to wait for more than 5 minutes, and you always feel safe at this station.Perhaps the trip to New York will not be completed without visiting the world's most symbolic train station.And it's not disappointed!/There's quite a lot of upstairs, it's not good, and I don't want to eat it there, but if you want to take a train, it's very central to the subway line to transfer.There are many shops and cafes inside the station.If you are traveling, you can do shopping.Most of the time tends to be busy./Grand Central is a great place to connect all means of transportation and move to places where you want to go to various places throughout New York.Shops and restaurants./ Very crowded positions, so you can arrive early and pay attention to the direction signs posted on your head./ This is a beautiful station and you have 100% worth visiting even if you don't need a train.The place where I met a friend is a beautiful and wonderful place./ The building is beautiful.But around 4 pm on Sunday, the women working at the top 11 of the North Subway Campaigns were terrible and rude.Children -friendly.Pet -friendly.Wheelchair is available.The frequency of train and submarines is good.There are many good restaurants for underground food courts/all tourists must visit.There is a good reason for the dozens of Hollywood movies.It's a must -see place at least once.I still like to transfer to the north subway/I want to go because there are too many people to see.The best/place in New York is very beautiful and full of architectural structure./ good/very good reverse "
1764," can be eaten in the basement, but it is very noisy and hits the shoulders with the homeless.I miss you after seeing the mark.Don't work in that area anymore.So don't enjoy this scene./ A wonderful station that is worth visiting.are you okay.Sometimes people are crowded.It's really worth seeing !!/Very busy station.Clean and good tourist destination/my train ??Thanks to God that riding did not happen.The double room is quite big compared to the Grand Central and close to the restaurant of Murray Hill.I was tired of this ridiculous sound.Please act together ./ Marvel Place ... I like it, but Iron Man does not come out.A good place to visit.The name makes the presentation as ""Great Central"".It is a good place to manage the station well and//see people.It is still standing there because of the mythical place of New York and Jacqueline Kennedy.It is one of the most common places like a picture.actually.It is the most helpful.All kinds of/too dense.The city has changed and the situation has not improved.You must have seen it all in the movie!/Beautiful/full/everything is well marked.It is almost impossible to get lost.Do you love Manhattan on a good day ??????????/There is one of the must -visit to visit in New York. There is a fantastic food court at the bottom.Confidence/Park Avenue's point of view, Met Life Building.It is an escalator and elevator/lovely food and shopping to Metro North.3 points out of 5 points./ Beautiful structure./ New York's best station/good good people support/Good place to visit !!!/Really cool/low floor, north end of track 103This is impressive.I love her./ full of historyPlace/People watching the gorgeous events!/Good/Good/Good/Goodbye \!!/Itz formula !!!!/Cool/Subway and Train Connection Center/I like it!/1869 New York City/Excellent Building/Disgusting./The Bare/Good Service./ Take the train in time!/Good location/fantastic!/Santa crawls/Good foods/Trampoline inside and outside are beautiful buildings.There is a famous watch in the guide desk. "
1765," This building is known in some famous movies.Since we arrived through subway station, we did not know the size of the building at first.The situation changed as we entered the auditorium.The guide desk, which has a building and world -renowned watch, gives a familiar sight and feels like being moved to a scene from a number of Hollywood movies.We have spent about 30 minutes in this hall and regret that we have no time to enjoy the masterpiece of this building.There is an old restaurant where you can taste fresh oysters in the lower floor.And of course, the place has a very important meaning because of the cinematic personality.Climb up?I visited.There was an old (about 1990 tie), and there was a very high evaluation of Macintosh's interactive softe ""GADGET"", but it was the atmosphere of the world (even for those who don't know GADGET?)However, the heavy and quiet air is flowing ./????????I like the new entrance of the new building across from the/VANDERBILT Avenue ... It's cool!/This station is especially amazing.True works of art."
1766," The cost of traveling is $ 2.75.It is quite easy to connect between the path, which is especially important on the weekend when the path to the World Trade Center is closed.It takes a long time because I go to Journal Square and transfer to other trains. ""Even though there are schedules and boards that are updated with ""real -time information"", they can be reliable as much as 8 times of magic.It must be managed/There is no way to pay with a decent path/Apple Pay compared to other stations in New York, and you need to buy a ticket card!It is one of the main stations that can ride the PATH train.Very busy but clearly displayed guidelines/worst train stations in New York.Credit cards for touch and high in the ticket gate, Apple Pay cannot be used, and vending vending vending cards can be purchased in the 1980s, and cash cannot be used.I tried to buy a ticket with a credit card, but it was a nightmare.It took 12 hours.Try to finally make a ticket issuing a ticket.It was really the worst experience./ New York is a very nice and clean subway station in New York.I have tried more than seven times on each computer, but I can't handle it.Others require accurate change.I gave up almost without any help, and I tried it last time just before using the Uber, and I could buy two travel cards without recharging.The same is true for WTC machines.It's the worst machine needed to board the train, but it doesn't work.This is a great location if you want to board the PATH train from Manhattan to New Jersey.Journal Square, in particular, is not only Jersey City but also the main location/transportation hub of New Jersey and New York City.I like how to board a special path metrocard.The fare is now $ 2.75 in the United States.Disagreement.It's a bit confusing to go around when you pass it for the first time, but after passing through the PATH stop, you will be able to go to a decent place where you can go elsewhere in the city.Most of the North Jersey can be easily accessible.Hoboken train seems to be a bit less crowded, but it's just the day I rode.The service is fine. There are good days and bad days. It is better than sitting on traffic and paying for parking fees and tolls. ""This overlap is a fascinating multi -layered subway station.Add the path line to see the tremendous flow of people from all autonomous districts and people from Hoboken and Journal Square.Unfortunately, one of the most crowded exits heading to the streets is currently under construction, so the entrance/exit is crowded and sometimes conflict with passengers who move in the opposite direction.So walk easily and carefully when you are here.In the summer when the entire basement turns into a furnace, you can arrive close to the desired departure time (the timetable is posted on the PATH homepage), so you don't have to be underground for too long, and you don't have to suffer in the heat..If you don't have a ticket, it may take time to buy, so assign an extra time.This station is directly connected to Manhattan Mall/JC Penny, so it is convenient for those who want to shopping.//It is excellent in access to Empire State Building to Empire State Building.Route 6 is very crowded, so avoid commute.Nevertheless, the train operates quite often.Use for more than 1 year.It is impossible to buy a ticket every time, and every time you miss the train./Train station to NJ PATH.That was my first impression of New York. "
1767,"This is one of the rare concrete platforms at the New York train station.It's an old tile but a clean station.There are several homeless people in this train station.There is also a 24 -hour McDonald's/28th Street and 7th Street are very convenient to move to uptown or downtown!It is not the cleanest.(Please get out of the track! ㅋㅋㅋ Look at the picture ??) Still efficient and timely!/This station has an elevator on the uptown platform.This train station is clean and usually not crowded.There is a booth with an employee.You can use a lot of trains.There is not much to say.I remember trying to apply for a date at her.That's all, and this train station is quite clean and usually not crowded.I like that there is a booth with employees in case of need ./#letsguide.Very clean and systematic place.All subway places have a negative point.In the peak season, the place is very tense and noisy.But the service is completely helpful and fast.It is highly recommended and there are also circuits that go to various places.There are benches that can be leaned on, and some benches can sit.I went to charge my phone today and someone torn the charger code.Someone took out the USB charger from the kiosk.Then the rats start to make a sound when the manager writes.Then the police will wait for 5 minutes and then recharge the cell phone to ask how long it will be in the station and to control the sense of being closer to the belongings.If you take an attitude, you are from London, you don't have to enter the right entrance to choose the direction you want from the subway station.I was irritated to learn to learn. It is your task to tell people where to go. There is no sense of courtesy and no sense of what her job is! "", (Translation -Google 28th)This is the area of IRT Lexington Avenue.Located on 28th Street and 28th Street in Manhattan's Park Avenue South, and trains 6 in the peak direction, 6 times on weekdays and 4 trains in late -night hours.Construction began in 1900.The line from the city hall to the south of 42th Street was part of the original IRT line, which was opened on October 27, 1904, and also included 28th Street area. "
1768,"mta capital plan 2015-2019, and this station, along with other 32 stations, will be inspected as part of the reinforcement station plan..Updates include mobile phone services, Wi-Fi, USB charging station, interactive service bulletin board and map, improved signboards, and improved reverse lights.In January 2018, the New York City Bus and Bus Committee advised Judlau to receive a $ 125 million contract for 57th and 23rd Street on the Sixth Avenue IND line.28th Street is located in IRT Lexington Avenue, and 34th Street-Pen Station is located on the IRT Broadway-7th Street and IND 8th Street.But when the representatives refused to vote, the MTA board temporarily postponed the voting for these packages.The contract was delayed for the voting in February and was eventually approved.Located on 28th Street and 28th Street, Manhattan Park Avenue South and Trains operate in the peak direction, and trains 4 in the late night time. "
1769," First IRTThe construction of the line began in 1900.Some of the routes to the south of 42nd Street were part of the original IRT route, which was opened on October 27, 1904, including 28th Street area. "
1770,"1948The platform expansion has been opened to accommodate 10 trains along with 33th Street Trains.It's possible.Updates include cellular services, Wi-Fi, USB charging station, interactive service advice and map, improved signboards, and improved station lights.In January 2018, the NYCT and Bus Committee recommended that the Judlau Contraction would receive a $ 125 million contract for the 57th Street of the IND 6th Street and the 23rd Street Revision.IRT Lexington Avenue's 28th Street, IRT Broadway-7th Street and IND 8th Street 34th Street-Pen Station.But when the representatives refused to vote, the MTA board temporarily postponed the voting for these packages.The contract was delayed again for the February voting and was finally approved./I wish there was an elevator on the uptown platform.Exit 28 and 27th Street.Departure signboards are here, and mobile phone services and free Wi-Fi are also available./ Generally, they arrive on time and are fine in most cases.But commute time can be a nightmare.And on a hot summer day in New York, it is not fun at all if it is a wet day.I don't understand why a simple question makes my mouth full of attitudes.Sometimes it's a bit busy, but it's never crowded./The first kiss with a woman was done on this reverse platform.Also, for the first time, the first broken ribs, and shortly after the first prohibition order.To go to uptown, go to the east, and go to the west of the road to go downtown.Easy to do, clean and well managed.You will take you to the place you need to go./ This is not clean and it smells like a human excretion, but the service people are kind and cooperative.There is an exit of 27th Street through the building lobby.It's clean!/Surprisingly clean and good connections.beautiful.I like gold mosaic./ The train always runs on time.There is no problem ./ The new tile art is really beautiful./This role is very clean.People are crowded a lot.A leap should take place/Beautiful/No more/No more/28th Street has been closed due to renovation work/Clean/You will not help you if you are a tourist.Well/great"
1771, platform is generally clean and may look slightly narrow in the peak time zone.It is very safe with the camera you do. 
1772," If my review is helpful, please like it.??/Excellent park.The peasant market and Hare krishnas provide better results.PS5 failure and a man fights two people every week, and the police take him to the hospital for the second time.Target is on the left side of the BEST Buy.It is a hidden treasure for those who need help.In other words, the bosch scene of the commute time seems to be part of the charm.In general, this station is a major hub, so the service is stable.Only the MTA gods can see if the train departed on time will break down in the tunnel.For reference, many musicians in the station will help to reduce the thoughts of the murder of the commuters trapped on the train.The place was a clean and safe position when we traveled.There were two best nyc people who performed the details.It's New York.And I wanted to upload a picture I took.Train, but most of all we need is "
1773, more security personnel placement 
1774," in a safe New York/this place is a major station with 4, 5, 6, L, N, Q, R, and W.This is a good place to get off at the center of 14th Street.A good shopping area that is much less crowded than Midtown.You can go to 6th Ave to 6th AVE, or you can transfer to 6th Ave by transfer to L train. "
1775," \There is food/that's the subway station.I go to work and go home from the company.I like to hang out after work and enjoy the city building.I see a lot of people, some sing, some dances, and most of them enjoy the parks.There is always something happening here…If you're looking for peace and rest, it's 100% wrong here .../Street artist show, bookstore, coffee shop, shopping, gym ... It's a good place to play.Simple commuter options everywhere.There is also a great special fair on Christmas!/The homeless threw pizza to me.I avoided it because I was as fast as the wind. "
1776," plays a role of arriving at the train, but it's a bit dark and eerie, so you need to improve the light.In addition, one of the machines to be recharged does not work properly. "
1777," is as generous as a whole.There is no value of more than three stars./Q to L's movement is scary, the platform is very narrow and waiting for an accident..I especially like that some broadcasters are still original.I like union SQ.This is because there are various ways and connections that customers can go anywhere, and you can go to the elevator, good service, and the police.And this is my personal opinion.And this certain station is definitely not.Rather, it is better to pay a dollar every time you use the bathroom.If you don't have to pray to survive without an unknown disease .../I hope the bathroom is better, but the good station has a seat toward the wall.I like quartz crystal candy rocks like art ??We have confirmed the cleaning work on the elevator and the floor.Union Square is large in summer.Unfortunately, in winter, it is a bit dirty and depressed.Anyway, the NYC atmosphere is always there and the urban landscape is always amazing./ If you come from Brooklyn, you can transfer to local trains.The MTA is doing its best to bring safety and tranquility to the city despite the budget deficit.The park provides a cool place to sit and see people.Many restaurants, including the chocolate land of MAX Brenner.Burlington and SAW offer great discounts for those who want to shop at a low price.There is also a movie theater for some movie lovers.It's really cool!Dancers, music, carnival foods (Churus, Popcorn, Mango Slice) It is almost the same as other NYC attractions with live performances and mobile art galleries.It is always a good time to keep in mind of busy and crowded commuting time.ㅋㅋㅋ ./ There are very large and always there is any kind of entertainment.4 5 6 n Q R and L trains are available for a variety of transfer.Although always crowded, there are generally enough trains to burn everyone.The performers are one of the best subway entertainment, so arrive at the train early and listen to the performance./ Big Station is quite clean.This is my favorite subway station.It has all the big and necessary trains.It also offers the best live entertainment among all the stations in New York City.If you leave the apartment in Bronx and head to the city.Nine of 10 is Union Square Subway Station.I like it ..../Almost always full of people, the station is composed of 4/5/6/l/q/r/w trains, and it all runs very often.The station complies with the ADA except the 4/5/6 train platform for various reasons.Also, in the warm season, the station becomes very hot.In cities full of diversity, the concept of personal space and personal hygiene may be slightly different.In the morning, this is a really smelly mess.The place, one of the most crowded traffic centers in Manhattan, is ready to dance around the performers and drummers, but this is also the essence of NYC.It is one of the best places to move to another place in the city that connects Eastside, Brooklyn, Uptown, and downtown.Here, I was shocked by the fact that people did not fall into the heat.MTA needs to strengthen it and modernize the subway system.There is no day when the MTA can say that it can maintain the safety of the passenger as well as the train system.There are elevators and escalators that can access the platform.There are many floating populations, but there are station officers in the field, making it easy to find all entrances and exits.Unfortunately I am a small person, so it's hard to see the crew's windows and the crew can't see me.This is a good place for New Yorkers to rest for a while before taking the subway or take a break while in the city. "
1778," \However, this station remains a little bit of remnants of the old station.Also inside the station is always performing, and in most cases, it is quite good.It's not as complex as CT, but you have to pay attention to where you are going.Recently they installed a technical vending machine, which surprised me.This is because it has never happened in any station in New York City.If you need to stay east to go, this is your station.If you need to take the next plane, 1 to LGAYou can also ride the M60 at 25.Born in Middleberg, New York.I met her at the 14th Street Union Square Market, which sells the family grown by the family !!I had to stop.And the rest is good, you see the picture.??…/""Fast subway station. 4/5/6/n/q/r/W. Many exit/entrance; Please think about which exit you want to use.It is not recommended to go up the stairs. It is not recommended to use that suspicious elevator. "
1779," This station is always crowded at the end of the night, so even if you travel alone, you are never alone.Toro is a visitor, there is no toilet on the MTA subway. There is a toilet, but there is no toilet for passengers (customers). All NYER knows how to use the toilet before entering the system.If you are, do you really want to use the bathroom?Sometimes it's too much for me.There are many suppliers, and sometimes there are small shows such as dancers.Good for observing small birds.There are many entrances to the bathroom/this station at the north end, but if you are looking for an elevator, you should go to the northeast corner of 14th and 4th Street.It is quite clean compared to other stations in the system.It is good to be able to avoid the sun for a while while spending a detail/sunny afternoon.There are a lot of people waiting for people who are relaxing or knowing. "
1780," From this point, you can easily move to tourist attractions such as flat Iron Building and Empire State Building.Good/Weekend is a good place to visit with the agricultural direct trading market.The entire food is in the area.It is worth going out to see live music or a kind of pop -up event.It is like reviewing certain trees in the forest.They are the same and just part.I wasn't a victim of crime here, but the train came.What more do you want?L, 4, 5, 6, Q, N, R, and other subway lines stop here.The subway exit/entrance of the station is connected from 14th Street to 17th and 4th Street near University Place.However, it is one of the best places for subway performers./ Convenient New York Subway Station/I like UNION SQ, which is convenient to move in all directions, is that someone is always performing./ One of Manhattan's most beautiful parkThere is a bazaar that sells apples and organic jam, and it is so wonderful that it is not tired.Located in Union Square, which has a bad scenic, you can often find live music, wonderful people, and hidden meatballs.It is a symbolic place where you can take a commemorative photo.It is a station that shows the energy that moves New York.Here you can see a brief sample of the mix of local people who move as fast as people, travelers and trains.And in the musical environment of local artists who perform every day at 14 Street UNI? N Square, you are my favorite person !!!Thank you, New York./ This is the best way to explore New York City and other autonomous districts.Details/One of my favorite shopping places.I am always in the area.There are several wonderful shopping places in this area.Please check if you are in the area.I think you really like this role.It constantly reminds NYC and that dirty dirty souvenirs.Also, it is my main work space, so in most cases I am busy working every day.There is a beautiful park here.On a certain day, the agricultural market is opened.This is a major transfer point, so it will always be crowded because it is New York City.Very convenient in the case.A wide variety of street vendors. "
1781," seems to be worth traveling in my opinion.They have everything./This train station is too long.I don't care about big stations.I am a fan of Stillwell and Atlantic and even 34 degrees, but Union Square is poorly deployed.In addition, I received a summoning station for an open container.Thank you ErrrRRRF Free RR444R4ER4ER4ET4W44 WER R Draw 4 R R5555TR R4RRW42RR/try/""Warriors in the movie warriors are a scene where the Warriors collide with pants, striped sweaters and rollers skates.It is depicted as a band reminiscent of the band. The City Rollers, which had little punk, had a big battle in the public bard poet of the Big Apple's nerve hub (even if it was reconstructed against Astoria Studios in NY).station.I found Nix the Bull in New York!/There are a lot of creepy things .... When here, I have a discernment./It is considered to be a very useful station, but the platform 456 suffers from extreme pain on a hot summer day.Air circulation is normal at best./ There's a nice park, a food market on Saturday, and you can have a chess every day.When waiting for 4 or 5 times, the Sharp Curve of 4, 5, (6), and <6> was noisy, and the station was the site of the 1995 subway.Five people are dead./The train will always run on time.The staircase is likely to take you to another staircase that goes back to where you started.Robert E. Ray, a driver, was arrested at 5:30 while returning to the apartment.In 1992, he was convicted and sentenced to imprisonment for five to 15 years.He was released in 2002.It's a good place to go to /NYU and stop for a while.You can walk a little from here, but it's not bad, it's a good place to play in the park!Clean Trainz r all is running according to the schedule ??/The station is compared to the NYC public transportation system and is easier to move.Therefore, you need to prepare the subway card.But at least here has a toilet.I think there are at least two kiosks here.Most trains pass through this hub.Very convenient/5/5, abandoned toilets are great hideout and learned about rats.It's just hot in summer./It's always a good place for all unique people.It is an organic product./ Many homeless people are dangerous, dirty mentally unstable.Always always .... Always look around around ..../MTA is a major station, so you need to clean the Union Square better./It is very important that people never forget.Tear it.There's always a free thing to do here all the time.It also guides you outside the Union Square Park with all the wonder./ One of the worst lucky waiting at the train time counter/is really amazing.Many craftsmen and hands are everywhere.I think the train here is pretty good/ㅋㅋㅋ!The best subway station is a station where you can go to your destination.Choose your own way ./ The train arrives on time and the area is always clean and well managed.It is very warm in the interior, of course, in winter.Good station staff.5 stars/with various attractions nearbyIt is a very busy center of traffic ./ ""The soul on my feet brought me to your room window."".../ Great Station/This is a subway station.Here you can ride a lot of subway.There are always crowds and many live performers.I hope you will provide you./ The train station/train station of Lexington Avenue Line, NQRW and L is very good and there are many entrances and outlets.This subway offers great subway hubs from 14th to 16th Street.??????????????????/Always stop by on a clear and sunny day ... Shopping and eat!Where it's going!Warning and closure will lead to a 20 -minute delay.AVE has exceeded the food fee.//Nyc One of the largest and well -managed train stations/Grand Central moves 1 stop ... City Hall ... Times Square ... Upper East Side ... Subway HerbHip Williamsburg/It's a great station that offers interesting solutions!/It's a good place for various activities and agricultural products.It's getting better, and the police are everywhere/Great Station/This park is So NYC ... You should go and understand ...This is part of Manhattan.Recommended :/Wunderground NYC Tour was very nice./ Good place to sit and drink coffee./ This station provides great service./ I hate too many homelessness in the MTA/???/Find two perfect breaks with your family and friends./ A great place/these people are very helpful and professional !!!It's not perfect but clean.Many routes stop here./ Everyone is an artist and there are too many people. There is a great subway stop in a great park.????…/It was a really amazing picture/Very fun daily pass/May is so inaccurate and full of delays.??????????…/Beautiful ???? "
1782," New York City…/After a few hours, the service is slow.I need breath/I'm so fun/quiet and good place/busy station is not bad/It's very hot in summer.It's amazing./The service was very smooth/I hope there will be more signs for good parks/beginners.Very good/I liked hats, and I like/♥/I must go to an important place/♥? ♥? ♥/♥/Always busy and dirty/elevator yes!Train will transfer here/Good food, good atmosphere./ Tile Building/Busy Herb/Subway Location and Small Park./ You should see.Yuu/fantastic!/Cool/There are so many train options/many entertainment.Train/Good Station/Cool"
1783,"Lexington Avenue Line very historic architecture and great service.In addition, I believe this will be one of the few subway stations that are linked to Kmart or Sears in some way.Enjoy it while it lasts.I want them to keep them around. "
1784,"6 line I like it because I use R62A cars./ Honestly, I have traveled to most of the time.I like the outside of the station and the inside of the station./ Public place where you can have a good time in the city .... Recommended !!There are only one outlet.It's still a good station./There are a lot of cool things around here.It is a great place to enjoy nearby.It is close to a great restaurant, shops and several shows.There are also interesting sculptures, buildings and arts around here.However, many constructions are in progress, so the scaffolding is hidden.This offers free Wi-Fi and cell services.On the city platform, you can enter K-MART immediately with mezzanine!The city side is technically accessible through K-Mart.There is a symbolic kiosk at the entrance of Uptown.All you need is one thing.Make a wheelchair access!If you look east, you can see Cooper Union, the south is The Village Voice under the road, and there is The Public under the other road, the west is NYU and Washington Square Park, and the north is Union Square.Should I say ....?More! ????!/Very good place to visit/????Happy ??Thanksgiving 19. ???? "
1785,") In my opinion, Astor Place and The East Village are the hip and most desired neighborhood in NYC./ The only problem of this stop is that it is impossible to transfer between directions.But it's really good to go directly to K -Mart.K-MART./ The morning resume that meets all your shopping demands/6 train love is displayed here.My main station in the main Stompp of the city.All of my favorite things are near here, and I have a good memory of the Starbucks toilet before my life!/Shaded train station ... Big and straps.Do not allow people to get closer for any reason.It was a bit difficult to swipe for a good place to sit and sitting, but other reasons are very easy.Very good station.It offers a small station, a stable Wi-Fi, and you can move to a variety of areas between the east and the western village.The price is great and I like the food..Do not miss the beaver terracota decoration, the source of luck in Astor.The station requires some restoration.The location is very convenient./ The ASTOR PLACE location at the entrance of the subway was a bit dirty, and some bums were playing.I will clean this place for tourists with NYC.Always clean ...../Good place/This station lacks very dirty and proper maintenance./ A wonderful table where people can sit in the middle of watching.There is no./ Everyone uses a lot of reviews of subway stations ㅋㅋㅋ/Good neighborhood/Always smoke in the last card/quite small 6 stations./ The strange thing about this station is that there is K-MART.Very unusual place.6!"
1786,"The mosaic tiles of all IRT stations were manufactured in American Encaustic Tile Company, which contracted each station installation.The decorative work was performed by the FAIENCE contractor Grueby FAIENCE COMPANY.The station is similar to all stations around the city.It looks like an uninhabited.Or at least when we were there.To find the entrance, you must be on the right side of the road.Like all stations, you can use the right air and signs to make the stop more clearly.Every time I go into the wrong direction, I have to go through a series of tunnels to reach the right platform.Please add it again!It's so frustrating…/New York subway has its own personality.It's a bit warm in summer, but that warmth is so good in winter.It is a good way to prevent wet when heavy rain comes.Finally, you can transfer between (b) (D) (f) (m) and (6) in both directions.In addition, a fantastic art work was also installed.The service of (6) is mostly satisfactory.It is soaked in this place where the fragrance of urine and feces and the fragrance of new milk are intertwined.Now it has become a major subway hub.You can move to B/D/F/M via the stairs and the elevator.The exit is in Laffayette and Crosby Street.5 stars/Elevator in NE Corner of Houston and Crosby/This is a great area, and the subway station is enough for 6 people./ Good place to stay/today's exceptional train delayed .. No public announcement ../It's ... !!Enjoy the discount season ... !!/Broadway-Lafayette Stop.Beautiful Station./ On -time/Great Lighting/Q Win/Q Winning and quite clean station Broadway -Lafayette has an orange line train BDFM.Easy to read signs indicate the right direction.Go to uptown or go to the city.The walls are currently used in the David Bowie project.I expect more art ""Show"" to be unfolded in the future.This occurs because the mop is so dirty that it does not wash.Is beautiful!…/Sometimes the train arrives on time, sometimes not NYC, so you may like or leave.But the service is good"
1787,"No. 4 does not end here.Only 6 can be made.(Canal st. The same as the stop) Google Maps again !!I need help to walk on foot.I think the rat ate/I like to shop in UNIQLO/The smell is really bad in the station.I have never really been fun, but it's far from that recently.Line 6 runs from time to time.There are also cellular services and Wi-Fi.The countdown clock shows the remaining time before the train arrives.It's a perfect place to go out and walk to St Patricks.I think it will help.I don't like the old poster on the wall/one of the mixed stations.Besides, it's in one of the two curves "
1788,"As Bette Davis said, ""It's really garbage!""This station is a mixed bag because some parts are actually attractive depending on the route, but if you need to transfer the route, you have to hold your breath or walk along a narrow platform for a few signs.If you don't want to get a bad smell, take a breath with your mouth.Daniel Enriquez/""Umejo Food, Perfect Service and Mejo People !! #Marsala New York"""
